date,time,act
2022-08-15,11:00,2-5
2022-08-15,11:00,2-5
2022-08-15,11:00,Part-time
2022-08-15,11:00,any pain
2022-08-15,11:00,-surprise
2022-08-15,11:01,-sadness
2022-08-15,11:01,emotionally UNbalanced
2022-08-15,13:55,procrastinated
2022-08-15,13:55,any pain
2022-08-15,13:55,too much youtube
2022-08-15,13:56,tvshow
2022-08-15,13:56,Не можу працювати
2022-08-15,13:56,0-2
2022-08-15,16:58,-fear
2022-08-15,16:58,0-2
2022-08-15,16:58,Не можу працювати
2022-08-15,19:55,any pain
2022-08-15,19:55,2-5
2022-08-15,19:55,Не можу працювати
2022-08-15,11:00,any pain
2022-08-16,11:00,2-5
2022-08-16,11:00,Part-time
2022-08-16,11:00,slept_GOOD
2022-08-16,13:55,tvshow
2022-08-16,13:55,2-5
2022-08-16,13:55,Part-time
2022-08-16,13:55,pain
2022-08-16,13:56,calmness
2022-08-16,13:56,emotionally UNbalanced
2022-08-16,13:56,pleasure from done tasks
2022-08-16,13:56,focused
2022-08-16,13:56,5 minute journal
2022-08-16,16:57,look inside 4 feelings on whole life
2022-08-16,16:57,5-7
2022-08-16,16:57,over_eated
2022-08-16,16:58,relief
2022-08-16,16:58,satisfaction
2022-08-16,20:00,emotionally balanced
2022-08-16,20:00,2-5
2022-08-16,20:00,Не можу працювати
2022-08-16,20:00,over_eated
2022-08-16,20:00,too much youtube
2022-08-16,20:00,dissatisfaction
2022-08-16,20:00,procrastinated
2022-08-16,20:00,-sadness
2022-08-16,20:01,pain
2022-08-16,10:59,boredom
2022-08-17,10:59,5-7
2022-08-17,10:59,Part-time
2022-08-17,10:59,2
2022-08-17,10:59,slept_GOOD
2022-08-17,10:59,look inside 4 feelings on whole life
2022-08-17,10:59,slept_GOOD
2022-08-17,10:59,look inside 4 feelings on whole life
2022-08-17,10:59,2
2022-08-17,10:59,relief
2022-08-17,11:00,calmness
2022-08-17,11:00,emotionally balanced
2022-08-17,13:55,satisfaction
2022-08-17,13:55,5-7
2022-08-17,13:55,sexual desire
2022-08-17,13:55,2
2022-08-17,13:56,procrastinated
2022-08-17,13:56,chess
2022-08-17,13:56,Part-time
2022-08-17,17:01,boredom
2022-08-17,17:01,2-5
2022-08-17,17:01,Part-time
2022-08-17,19:55,running on plans feeling
2022-08-17,19:55,2-5
2022-08-17,19:55,Full-time
2022-08-17,19:56,too much youtube
2022-08-17,19:56,boredom
2022-08-17,19:56,procrastinated
2022-08-17,19:58,over_eated
2022-08-17,13:59,confusion
2022-08-18,13:59,5-7
2022-08-18,13:59,Part-time
2022-08-18,14:00,happiness
2022-08-18,14:00,joy
2022-08-18,14:00,relief
2022-08-18,14:00,inspiration
2022-08-18,14:00,focused
2022-08-18,14:00,productive
2022-08-18,14:00,amusement
2022-08-18,14:01,excitement
2022-08-18,16:58,inspiration
2022-08-18,16:58,5-7
2022-08-18,16:58,Part-time
2022-08-18,16:58,chess
2022-08-18,16:58,10 pushups everyday
2022-08-18,16:59,look inside 4 feelings on whole life
2022-08-18,16:59,+surprise
2022-08-18,17:00,focused
2022-08-18,19:56,romance
2022-08-18,19:56,5-7
2022-08-18,19:57,Part-time
2022-08-18,19:58,emotionally balanced
2022-08-18,12:21,disgust
2022-08-19,12:21,5-7
2022-08-19,12:21,Part-time
2022-08-19,12:22,too much social media
2022-08-19,12:22,slept_GOOD
2022-08-19,12:22,slept_GOOD
2022-08-19,12:22,look inside 4 feelings on whole life
2022-08-19,12:22,10 pushups everyday
2022-08-19,12:22,studing
2022-08-19,12:22,emotionally UNbalanced
2022-08-19,12:22,sexual desire
2022-08-19,12:24,chess
2022-08-19,12:24,+fear
2022-08-19,12:24,-sadness
2022-08-19,12:24,confusion
2022-08-19,16:55,dissatisfaction
2022-08-19,16:55,sexual desire
2022-08-19,16:55,1
2022-08-19,16:55,2
2022-08-19,16:56,too much news
2022-08-19,16:57,5-7
2022-08-19,16:57,-sadness
2022-08-19,16:57,boredom
2022-08-19,11:01,confusion
2022-08-20,11:01,slept_GOOD
2022-08-20,11:01,new people
2022-08-20,11:01,social offline
2022-08-20,11:01,made smth for selfefficiency
2022-08-20,13:56,fastfood
2022-08-20,13:56,5-7
2022-08-20,13:56,Part-time
2022-08-20,13:56,cafe
2022-08-20,13:56,social offline
2022-08-20,13:56,pride
2022-08-20,13:56,+surprise
2022-08-20,13:56,satisfaction
2022-08-20,13:56,relief
2022-08-20,16:59,empathic
2022-08-20,16:59,work thru complicated situations
2022-08-20,16:59,arguing
2022-08-20,16:59,common goals completion
2022-08-20,16:59,cold shower
2022-08-20,17:00,look inside 4 feelings on whole life
2022-08-20,17:00,UNPREDICTABLE EMOTIONAL WOWs
2022-08-20,17:00,-sadness
2022-08-20,17:00,confusion
